Word,PC1,PC2,PC3,PC4,PC5
core,-0.002656,0.005579,-0.018386,0.002536,0.019403
correlates,-0.006771,0.001016,-0.004319,-0.004700,0.018597
cortex,-0.001331,0.009645,-0.017515,-0.009582,-0.005163
cortical,0.003619,0.005488,-0.015503,-0.007843,0.003060
cost,0.005376,0.038705,0.048211,0.013377,0.010108
costs,0.002191,0.032332,0.025526,0.000189,-0.007602
coupled,0.000259,0.005184,0.001059,0.003055,-0.000634
coupling,0.003100,0.005265,-0.012371,-0.007781,0.000138
critical,0.000424,0.005725,-0.012136,0.002292,0.003193
crucial,-0.002729,0.005235,-0.011798,0.002898,0.003876
cues,-0.003583,0.005212,-0.008403,0.003659,0.001624
cultural,-0.001318,0.004868,-0.012994,-0.024795,-0.000410
curiosity,-0.001000,0.010055,-0.011550,0.051623,-0.009444
current,0.000646,0.033293,0.004098,0.003140,0.031482
data,-0.013577,0.035988,-0.033613,0.092537,-0.032305
decision,-0.028291,-0.003283,-0.012212,0.093471,0.072470
decision making,-0.018136,-0.001349,-0.011939,0.070114,0.061276
decisions,-0.009393,0.001947,-0.008652,0.025876,0.018448
deep,-0.029690,-0.022532,-0.000334,0.108341,0.023819
deep active,-0.023881,-0.019640,0.016063,0.055374,-0.003799
deep learning,-0.002363,-0.004861,-0.003489,0.040163,0.010405
defined,-0.001412,0.001940,-0.008577,0.005669,0.002653
demonstrate,-0.009101,0.003983,-0.016691,0.051166,0.006998
demonstrated,-0.001890,0.002706,-0.004991,0.011470,0.003648
density,0.014456,-0.002855,0.003581,0.003646,-0.010327
dependent,0.001606,0.010485,-0.006832,0.000424,0.001409
depression,-0.004936,0.008648,-0.014361,-0.022363,-0.000112
depth,0.000250,0.006189,-0.011789,0.001090,-0.001879
derived,0.008385,-0.001322,-0.004682,0.015459,-0.000883
described,0.000242,-0.000111,-0.009824,-0.004475,0.014714
describes,-0.000433,-0.000481,-0.005545,0.009234,0.016472
description,0.000896,-0.005131,-0.006265,-0.004844,0.013148
design,-0.002185,-0.005144,0.000886,0.034657,-0.025429
despite,-0.004210,0.002073,-0.010187,0.005330,0.014299
detection,-0.003555,0.004734,-0.005110,0.010527,-0.019496
develop,-0.001029,0.006271,-0.011546,0.013956,0.007331
developed,0.001174,0.004039,-0.010113,0.012944,0.005336
developing,-0.003382,0.009623,0.000302,-0.001286,0.003235
development,0.007321,0.013969,-0.026923,-0.010718,0.009412
developmental,-0.002939,0.005278,-0.015866,-0.008839,0.012061
devices,-0.005484,0.003267,-0.004712,0.009383,-0.019458
difference,0.001062,0.004790,0.000281,0.010351,0.003684
differences,-0.000373,0.005827,-0.009536,0.001042,0.000849
different,-0.002757,0.013020,-0.026999,0.021298,0.019694
dimensional,0.000730,0.001655,-0.004833,0.039843,0.000153
directed,-0.010994,0.002266,-0.009858,0.051882,0.008562
directly,0.000542,0.003519,-0.005679,0.004074,0.005048
discrete,-0.014385,-0.013375,0.005091,0.030001,0.017959
discuss,0.000803,0.004181,-0.022922,-0.007531,0.019681
discussed,0.005016,0.000236,-0.003457,0.000020,0.000494
disorder,-0.005184,0.012934,-0.024921,-0.040619,0.016444
disorders,-0.006235,0.019812,-0.028637,-0.021978,0.010926
distinct,-0.002324,0.005382,-0.012255,0.009099,0.009002
distinction,0.005332,0.000235,-0.010894,-0.006151,-0.002519
distributed,-0.010753,0.002311,0.008656,-0.004449,-0.035181
distribution,-0.000350,0.010171,-0.005240,0.033259,-0.006406
diverse,-0.001148,0.003358,-0.010851,0.000415,0.008975
does,0.005536,0.001812,-0.003521,-0.012689,0.006034
domains,-0.002513,0.006331,-0.012864,-0.000638,0.012374
drawing,-0.000301,0.003747,-0.012308,-0.009903,0.016960
drive,0.005139,-0.001335,-0.005822,0.011188,0.003141
driven,-0.003088,0.004050,-0.011403,0.022715,0.002454
driving,-0.010341,-0.006828,0.000173,0.034057,0.010782
dual,-0.003883,0.001800,-0.006045,-0.007312,-0.002904
dynamic,-0.004943,0.010137,-0.029527,0.038765,0.024901
dynamical,0.002226,0.002864,-0.018666,-0.000617,0.005578
dynamical systems,0.000178,0.002563,-0.010726,-0.001009,0.003753
dynamically,-0.003605,0.003789,-0.006886,0.014560,0.000432
dynamics,0.001176,0.012745,-0.043813,0.018285,0.052750
early,0.001720,0.004610,-0.013377,-0.010296,0.007668
ecological,0.006238,-0.002192,-0.011021,-0.013204,0.017770
edge,-0.010249,-0.004278,0.003721,0.007390,-0.042149
efe,0.000670,-0.001216,0.010115,0.029952,0.028020
effect,0.002990,0.017793,0.002885,0.004899,-0.007364
effective,-0.002910,0.009557,-0.010758,0.013036,0.000387
effectively,-0.001584,0.002527,-0.006929,0.012100,0.008571
effectiveness,-0.003470,0.001956,-0.005166,0.017397,-0.006036
effects,-0.005600,0.013713,-0.012289,-0.012548,-0.021417
efficiency,0.004254,0.029641,0.029383,0.029452,0.000818
efficient,-0.012377,0.004328,0.010765,0.040103,-0.023863
efficiently,-0.002482,0.002482,-0.005627,0.019954,-0.006473
embodied,-0.003560,0.009267,-0.037606,-0.027002,0.050490
emerge,-0.002400,0.004566,-0.012961,0.005364,0.018008
emergence,-0.000493,0.008950,-0.023782,-0.010155,0.011939
emergent,0.000807,0.001253,-0.011814,-0.002580,0.017366
emerges,-0.001023,0.002732,-0.011881,-0.003361,0.022440
emerging,-0.001334,0.001344,-0.011152,-0.000740,0.008829
emotion,-0.000502,0.005588,-0.008318,-0.009843,0.007923
emotional,-0.001075,0.008408,-0.017399,-0.016851,0.009112
emotions,0.001665,0.004968,-0.008033,-0.006729,0.007624
empirical,-0.004906,0.005646,-0.021885,-0.020860,0.025512
empirically,-0.001850,0.000973,-0.006850,0.004349,0.008211
enable,-0.002318,0.003660,-0.009020,-0.000600,0.002157
enables,-0.004401,0.002459,-0.009470,0.025577,0.006231
enabling,-0.003531,0.000654,-0.007860,0.015141,0.012606
enactive,0.004620,-0.002420,-0.014920,-0.029079,0.027718
end,-0.004312,0.003764,-0.009349,0.026047,0.000837
energy,0.402599,-0.142737,0.233876,0.087278,0.216509
energy minimization,0.016552,-0.010277,-0.002910,0.024797,0.035694
energy principle,0.259375,-0.204799,-0.040814,-0.048403,-0.026130
engineering,0.004840,0.004841,0.001183,0.003240,0.005250
ensuing,0.001616,-0.000775,-0.006330,0.012263,0.010100
entropy,0.019896,0.005383,-0.015222,0.004719,0.002909
environment,-0.011012,0.008307,-0.036199,0.077063,0.049817
environmental,-0.003829,0.012637,-0.005832,0.018525,0.018227
environments,-0.018081,-0.001534,-0.015181,0.086231,0.023649
epistemic,-0.010254,-0.001006,-0.000120,0.018266,0.036139
equations,0.005440,-0.009219,0.001981,-0.001990,-0.007640
equilibrium,0.018562,-0.007626,-0.003035,-0.001284,-0.013071
error,-0.001928,0.013572,-0.028145,-0.001802,0.037534
errors,-0.002030,0.009061,-0.022394,-0.002670,0.014156
especially,0.000968,0.003295,-0.007468,0.004518,-0.003035
essential,0.000015,0.004358,-0.010363,0.003850,0.000480
established,-0.000036,0.003811,-0.008070,0.003647,-0.000830
estimate,0.000983,0.006312,-0.000380,0.012005,-0.003624
estimation,0.015160,-0.004524,0.005088,0.038317,-0.021909
et,0.009478,-0.010445,-0.006261,-0.043192,-0.065649
et al,0.008970,-0.011215,-0.006060,-0.043357,-0.063409
evaluate,-0.002351,0.005990,-0.008057,0.018014,-0.002166
evaluation,-0.001746,0.001224,-0.000568,0.013045,-0.008457
evidence,-0.008862,0.015517,-0.023453,0.004223,0.028836
evolution,0.003405,0.007043,-0.014968,-0.007821,0.014644
evolutionary,0.003379,0.011907,-0.027206,-0.038024,0.015495
examine,-0.000436,0.001825,-0.010505,-0.008187,0.010656
example,-0.005360,0.003679,-0.007364,0.008934,-0.003143
examples,-0.000175,0.005624,-0.008188,0.006477,0.002643
existing,-0.002621,0.004631,-0.014378,0.018362,0.008520
expectations,-0.005257,0.012542,-0.018835,-0.011250,0.006254
expected,0.084998,0.487710,0.692370,0.009968,0.276709
expected free,0.008772,0.002720,0.040097,0.075173,0.079445
experience,-0.006951,0.020352,-0.042578,-0.056736,0.050813
experiences,-0.006798,0.009720,-0.022548,-0.014434,0.027439
experiment,0.000468,0.002397,-0.009514,0.000910,-0.005503
experimental,0.003359,0.000712,-0.010229,0.025148,-0.006246
experiments,-0.007398,0.002925,-0.011566,0.040578,-0.003844
explain,0.002040,0.005863,-0.028477,-0.009123,0.039091
explained,0.000047,0.002827,-0.008220,0.000183,0.004706
explaining,0.001239,0.004385,-0.006186,-0.000687,0.016583
explains,0.000865,0.001850,-0.009601,0.001713,0.016870
explanation,0.001963,0.002571,-0.012335,-0.012378,0.014908
explanatory,0.001880,0.003860,-0.012412,-0.019158,0.018293
explicit,-0.001617,0.000333,-0.004870,0.010598,0.009739
exploitation,-0.003876,-0.003964,0.006356,0.025861,0.027789
exploration,-0.008986,0.001236,-0.001767,0.093063,0.036941
exploration exploitation,-0.003567,-0.003385,0.003735,0.019900,0.021282
