Rank,Word,Total Importance Score,PC1 Loading,PC2 Loading,PC3 Loading,PC4 Loading,PC5 Loading
129,prior,0.105923,-0.011580,0.011292,-0.021834,0.041044,0.020174
130,conscious,0.105795,-0.002240,0.008435,-0.023308,-0.041488,0.030325
131,markov blanket,0.105644,0.013662,-0.016132,-0.002530,-0.032473,-0.040848
132,neuroscience,0.103646,-0.000364,0.005612,-0.038066,-0.006932,0.052672
133,variational free,0.102358,0.011467,-0.008879,-0.008031,0.032347,0.041633
134,affective,0.101906,-0.005192,0.016108,-0.029309,-0.025893,0.025405
135,navigation,0.101645,-0.015710,-0.000689,-0.005363,0.067287,-0.012595
136,review,0.101089,-0.006035,0.015120,-0.010695,-0.041864,0.027375
137,process,0.100374,-0.003944,0.002009,-0.042160,0.017976,0.034286
138,results,0.100272,-0.005582,0.006587,-0.022455,0.063077,-0.002571
139,disorder,0.100102,-0.005184,0.012934,-0.024921,-0.040619,0.016444
140,hierarchical,0.100056,-0.019815,-0.013494,-0.028564,0.013431,0.024752
141,body,0.099252,-0.001792,0.012515,-0.034345,-0.034822,0.015779
142,article,0.098740,0.004998,0.007574,-0.023351,-0.032713,0.030102
143,motor,0.098558,-0.019040,0.005599,-0.029901,0.021003,0.023015
144,based active,0.097469,-0.017046,-0.010989,0.007144,0.028128,-0.034163
145,training,0.097206,-0.008921,0.005705,-0.010840,0.051255,-0.020484
146,visual,0.097157,-0.007981,0.001466,-0.023470,0.037292,-0.026947
147,evolutionary,0.096011,0.003379,0.011907,-0.027206,-0.038024,0.015495
148,rl,0.096000,-0.005141,-0.007040,0.000784,0.062680,0.020355
149,large,0.094614,-0.010042,0.009844,-0.012023,0.030721,-0.031983
150,integrated,0.094582,-0.002647,0.004887,-0.024900,-0.025702,0.036446
151,efficiency,0.093548,0.004254,0.029641,0.029383,0.029452,0.000818
152,tasks,0.093305,-0.019239,-0.001069,-0.007892,0.057497,-0.007608
153,observations,0.092080,-0.004421,0.000411,-0.008095,0.051690,0.027463
154,ai,0.091964,-0.017879,-0.002243,-0.029061,-0.011349,0.031432
155,optimal,0.091917,-0.014495,0.010253,0.005908,0.043178,0.018082
156,autonomous,0.091785,-0.015304,-0.016600,-0.001969,0.045714,-0.012198
157,value,0.091642,0.006288,0.017393,0.023457,0.022891,0.021613
158,approaches,0.091580,-0.009299,0.010441,-0.026920,0.014422,0.030499
159,efficient,0.091436,-0.012377,0.004328,0.010765,0.040103,-0.023863
160,physics,0.091242,0.020106,-0.007070,-0.013260,-0.021256,-0.029550
